// Metin2-style weapon socket / spirit stone system
// Section 0: global (failMode, socket drop weights P0 P1 P2 P3)
// Section 1: jewels (itemIndex jewelTypeId "Name")
// Section 2: levels (jewelTypeId level successRate optionType optionValue targetClass)
//   targetClass: -1 = any, -2 = monsters only, 0..6 = MU class (DW/DK/ELF/MG/DL/SUM/RF)
// Section 3: eligible item ranges (section indexStart indexEnd)

0
// failMode: 0=destroy stone on fail, 1=keep stone, 2=break socket
0
50 30 15 5
end

1
// itemIndex  type  name
8207  1  "Stone of Penetration"
8208  2  "Stone of Deathblow"
8209  3  "Stone of Cooldown"
8210  4  "Stone against DW"
8211  5  "Stone against DK"
8212  6  "Stone against ELF"
8213  7  "Stone against MG"
8205  8  "Stone against DL"
8224  9  "Stone against SUM"
8695  10 "Stone against RF"
8214  11 "Stone of Monsters"
8215  12 "Stone of Evasion"
8217  13 "Stone of Magic"
8218  14 "Stone of Vitality"
8219  15 "Stone of Defence"
8220  16 "Stone of Haste"
end

2
// type level rate optionType value targetClass
// Penetration (+ignore defense)
1  1  40  102  2  -1
1  2  30  102  4  -1
1  3  20  102  6  -1
1  4  15  102  8  -1
1  5  10  102  10 -1
// Deathblow (+critical rate)
2  1  40  84   2  -1
2  2  30  84   4  -1
2  3  20  84   6  -1
2  4  15  84   8  -1
2  5  10  84   10 -1
// Cooldown (+attack speed)
3  1  40  97   2  -1
3  2  30  97   4  -1
3  3  20  97   6  -1
3  4  15  97   8  -1
3  5  10  97   10 -1
// vs class stones (+damage vs class, applied in attack calc)
4  1  40  0    3  0
4  2  30  0    5  0
4  3  20  0    7  0
4  4  15  0    9  0
4  5  10  0    12 0
5  1  40  0    3  1
5  2  30  0    5  1
5  3  20  0    7  1
5  4  15  0    9  1
5  5  10  0    12 1
6  1  40  0    3  2
6  2  30  0    5  2
6  3  20  0    7  2
6  4  15  0    9  2
6  5  10  0    12 2
7  1  40  0    3  3
7  2  30  0    5  3
7  3  20  0    7  3
7  4  15  0    9  3
7  5  10  0    12 3
8  1  40  0    3  4
8  2  30  0    5  4
8  3  20  0    7  4
8  4  15  0    9  4
8  5  10  0    12 4
9  1  40  0    3  5
9  2  30  0    5  5
9  3  20  0    7  5
9  4  15  0    9  5
9  5  10  0    12 5
10 1  40  0    3  6
10 2  30  0    5  6
10 3  20  0    7  6
10 4  15  0    9  6
10 5  10  0    12 6
// Monster (+damage vs monsters)
11 1  40  0    5  -2
11 2  30  0    8  -2
11 3  20  0    11 -2
11 4  15  0    14 -2
11 5  10  0    18 -2
// Evasion (+defense success rate)
12 1  40  82   2  -1
12 2  30  82   4  -1
12 3  20  82   6  -1
12 4  15  82   8  -1
12 5  10  82   10 -1
// Magic (+magic damage)
13 1  40  81   2  -1
13 2  30  81   4  -1
13 3  20  81   6  -1
13 4  15  81   8  -1
13 5  10  81   10 -1
// Vitality (+max HP)
14 1  40  119  50 -1
14 2  30  119  100 -1
14 3  20  119  150 -1
14 4  15  119  200 -1
14 5  10  119  250 -1
// Defence (+defense)
15 1  40  83   5  -1
15 2  30  83   10 -1
15 3  20  83   15 -1
15 4  15  83   20 -1
15 5  10  83   25 -1
// Haste (+move speed, visual only for now)
16 1  40  0    1  -1
16 2  30  0    2  -1
16 3  20  0    3  -1
16 4  15  0    4  -1
16 5  10  0    5  -1
end

3
// section indexStart indexEnd  (GET_ITEM section, index)
0   0   511    // swords (+ RF claws at 100-104)
2   0   511    // maces / scepters in mace section
5   0   511    // staffs / scepters
10  0   511    // gloves (RF)
8   0   511    // chest armor
end
